[2026-04-06T12:44:04.087Z] GET http://localhost:8766/index.html → 200 (7ms, 3252B)
[2026-04-06T12:44:04.098Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → pending (?ms, ?B)
[2026-04-06T12:44:04.099Z] GET http://localhost:8766/css/style.css → 200 (2ms, 7177B)
[2026-04-06T12:44:04.099Z] GET http://localhost:8766/js/storage.js → 200 (7ms, 737B)
[2026-04-06T12:44:04.099Z] GET http://localhost:8766/js/menu.js → 200 (8ms, 1282B)
[2026-04-06T12:44:04.099Z] GET http://localhost:8766/js/history.js → 200 (9ms, 1233B)
[2026-04-06T12:44:04.099Z] GET http://localhost:8766/js/vote.js → 200 (10ms, 689B)
[2026-04-06T12:44:04.099Z] GET http://localhost:8766/js/roulette.js → 200 (12ms, 4143B)
[2026-04-06T12:44:04.099Z] GET http://localhost:8766/js/app.js → 200 (13ms, 8013B)
[2026-04-06T12:44:04.296Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K4.woff2 → 200 (155ms, 36932B)
[2026-04-06T12:44:10.104Z] GET http://localhost:8766/index.html → 200 (5ms, 3252B)
[2026-04-06T12:44:10.116Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (4ms, 8456B)
[2026-04-06T12:44:10.120Z] GET http://localhost:8766/css/style.css → 200 (1ms, 7177B)
[2026-04-06T12:44:10.122Z] GET http://localhost:8766/js/storage.js → 200 (?ms, 737B)
[2026-04-06T12:44:10.123Z] GET http://localhost:8766/js/menu.js → 200 (3ms, 1282B)
[2026-04-06T12:44:10.128Z] GET http://localhost:8766/js/history.js → 200 (?ms, 1233B)
[2026-04-06T12:44:10.129Z] GET http://localhost:8766/js/vote.js → 200 (?ms, 689B)
[2026-04-06T12:44:10.130Z] GET http://localhost:8766/js/roulette.js → 200 (?ms, 4143B)
[2026-04-06T12:44:10.130Z] GET http://localhost:8766/js/app.js → 200 (?ms, 8013B)
[2026-04-06T12:44:10.136Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K4.woff2 → 200 (?ms, ?B)
[2026-04-06T12:45:03.032Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → pending (?ms, ?B)
[2026-04-06T12:46:08.083Z] GET http://localhost:8766/index.html → 200 (6ms, 3252B)
[2026-04-06T12:46:08.096Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, 8456B)
[2026-04-06T12:46:08.096Z] GET http://localhost:8766/css/style.css → 304 (9ms, ?B)
[2026-04-06T12:46:08.097Z] GET http://localhost:8766/js/storage.js → 304 (16ms, ?B)
[2026-04-06T12:46:08.097Z] GET http://localhost:8766/js/menu.js → 304 (17ms, ?B)
[2026-04-06T12:46:08.097Z] GET http://localhost:8766/js/history.js → 304 (18ms, ?B)
[2026-04-06T12:46:08.097Z] GET http://localhost:8766/js/vote.js → 304 (18ms, ?B)
[2026-04-06T12:46:08.097Z] GET http://localhost:8766/js/roulette.js → 304 (19ms, ?B)
[2026-04-06T12:46:08.097Z] GET http://localhost:8766/js/app.js → 304 (20ms, ?B)
[2026-04-06T12:46:08.112Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K4.woff2 → 200 (?ms, ?B)
[2026-04-06T12:46:08.113Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (?ms, ?B)
